FOOD,UNIT NAME,AMOUNT PER MEAL,NOTES
apple,unit,1,Buy organic; buy the most colorful and/or red. Buy local.
apricot,unit,2,"Only in August; plump, tight-skinned, yellow or orange, minimum pale yellow; it gives a little when you touch it gently in the middle."
artichoke,unit,1,"Buy the freshest; rub two together, they should squeak. Look for violet-colored varieties."
asparagus,bunch,0.5,"They gotta be fresh! Look for: snapped asparagus (not cut), the butt end should be at least half an inch in diameter; if you go to an outdoor market, look for growers who keep the spears on ice or  refrigerated cooler. Avoid: bent in the end, separated tips and yellowish cast. separated tips; white asparagus."
avocado,unit,1,"Soft at the top but yields only a small amount in the middle; check the part where the stem was: if it is brown, then it is too ripe."
baby banana,unit,2,"Yellowing is ok, but not green."
beef,lb,0.5,Lean
beet,unit,1,"Buy the darkest ones (deep red or purple); get bunch beets with the leaves attached; if not, check the green top, it should be as green as possible,"
beet greens,hf,2,Reject them if they are wilt and starting to yellow.
blackberries,hf,2,Buy frozen (IQF or flash-frozen) or grow your own.
blueberries,hf,2,"Reject if soft, moldy, leaking or shriveled."
bread,slice,1,NO! Bake it at home!
broccoli,bunch,0.5,"Buy them if they are local only; choose the freshest: dark green crowns and tightly closed buds. No yellowing, bright green stem. No holes at the ends of the stem, not dry. Look for a vendor that has the broccoli on ice or in a cooler."
brussel sprouts,lb,0.25,Buy local only; buy bright green sprouts with tightly set leaves.
canned clams,can,0.5,No salt or anything added; in water
canned garbanzo,can,0.5,No salt or anything added; in water
canned tomato,can,0.5,No salt or anything added; in water
canned tuna,can,0.5,No salt or anything added; in water
cantaloupe (big),unit,0.25,"Choose dark fleshed fruit. No dents, fissure, or mold. Look at the stem end; the fruit should have a slight depression. A ripe melon smells sweet and musky. Press the blossom end with your thumb, it should depress slightly."
carrot,unit,1,"Look for purple, red and deep orange carrots; don't buy baby carrots!; buy carrots with the green part attached (they are fresher) and check that the green part is not wilted."
cauliflower,bunch,0.5,"Reject if it has spots, speckles, bruises or traces of gray mold. The leaves should be bright green. Beware of cauliflower that looks shaved because it means the mold was scrapped."
cherries,hf,2,"Look for tart, dark cherries in good condition. Fresh, shiny and free of dents. Ripe. The stem should be green, supple but firm. Get organic or get imported."
chia seeds,tbs,2,Look for organic.
chicken breasts,lb,0.5,Look for NGMO
corn,ear,2,"Buy only local; look for blue, purple and multicolored varieties. Deep yellow is much better than yellow corn and white corn. Buy organic in the US. Prefer ordinary sweet corn over extra sweet. Frozen is ok as long as it is the righ variety."
couscous,cup,0.75,Try to get brown.
cranberries,hf,2,Buy local.
dried apricot,hf,2,"Tunnerl-dried, hot-air dried. After making sure you are not allergic to sulfur, buy the ones that were protected with that if available. Buy national."
dried plum,hf,2,Look for those that have been dried without sugar.
dry blueberries,hf,2,"Hot-air, tunnel-dried or radiant energy vacuum drying. Reject those soaked in sugar water."
egg,unit,3,Make sure none is broken before buying (be careful when you check them).
fish,lb,0.5,Any that is not too expensive (9 usd per lb or less). No cod.
frozen blueberries,hf,2,IQF or flash-frozen
frozen veggies,hf,2,No green bean pods
garlic,clove,1,"Reject if there are any signs of sprouting; bulbs should be firm and have no brown spots, dampness, softening or mildew. Buy HARD NECK!"
ginger,tbs,1,"No mold, check that it feels firm and hard"
grape,bunch,2,"Red and black varieties. Pick a bunch by the stem and give it a gentle shake. The grapes should stay on the vine. The stem should be bright green, flexible and show no withering. Reject sticky grapes. Try to get organic. Ripe."
grape tomato,hf,1,"Look for dark tomatoes; reject if they are shriveled, dented or have lost their gloss."
grapefruit,unit,1,"Choose dark red grapefruits than pale varieties. CAUTION: many are degreened. Buy ripe, after December. Look for large, smooth-skinned fruits that are heavy for their size. The skin should be taut and spring back when you press it. The ropes red grapefruits have a reddish blush. Organic!"
green lentils,cup,0.375,"Dry; if not, no salt or anything added"
green pepper,unit,0.25,"Buy peppers that are dark green all over; reject wrinkle, dented peppers or those that have darl spots or a wilted stem."
ground beef,lb,0.5,90% or more of lean meat
guava,unit,0.5,"Ripe: It should yield to gentle pressure; free of soft spots, dents and scars."
honeydew,unit,0.5,"Red or orange honeydew, only. Ripe: Heavy for its size, cream-colored skin (not green). The stem end depresses slightly when you press it with your thumb. Shake the melon; you shouldn't hear the seeds."
kale,leaves,4,No yellowing
leek,bunch,0.25,Buy as fresh as possible; buy the smallest.
lemon,unit,0.25,"Look for fruit that is firm but not hard, glossy skins and no soft spots. Heavy for the size. Buy ripe, rich yellow color (no hint of green). Organic!"
lime,unit,1,"Look for fruit that is firm but not hard, glossy skins and no soft spots. Heavy for the size. Buy ripe, rich yellow color (no hint of green). Organic!"
mango,unit,1,Some may look red but be unripe; smell and firmness.
milk,ml,400,Non-fat (skim milk)
mozzarella,hf,1,Buy a ball
nectarine,unit,1,No hair. Choose ripe or nearly-ripe; white-fleshed fruit (no trace of green). Buy local and organic.
nuts,oz,40,"Non-salted, nothing added to them"
oatmeal,hf,2,"Whole oats, with no additives"
orange,unit,1,"Check that the oranges in display do not have all the same color. If they do, they have been dyed. If you are not sure, bring the largest (they grow as they ripen). Do not buy in October (too early), and wait until December. Buy them ripe! Try to buy oranges from places with cooler nights (eg. California)."
papaya,unit,1,"Ripe: Mostly yellow or orange-yellow. Press the rounded end of a papaya and it should have a slight give, but the stem should be firm, not soft."
parmesan cheese,oz,1,"Complete block, do not buy already shreded"
pasta,cup,6,Whole wheat pasta
peach,unit,1,With hair. Choose ripe or nearly-ripe; white-fleshed fruit (no trace of green). Buy local and organic.
pineapple,unit,0.25,Buy ripe (they usually are). Look for crown leaves that are deep green with no signs of fading and browning. You should not be able to plug a leaf.
pinto beans,lb,0.5,"Dry; if not, no salt or anything added"
plum,unit,2,"Look for red, purple, blue or black plums. Buy ripe plums (they have a slight give), generally in July. Try to get tree-ripen fruit."
pork,gr,0.5,As lean as possible
potato,hf,2,"Look for red, blue or black skins and deeply colored flesh; avoid young potatoes."
protein,unit,30,"Nop, we buy it in amazon."
pumpkin,hf,0.5,"Buy completely developed, whole pumpkin fruit instead of its sections. Look for mature fruit that features fine woody note on tapping, heavy in hand and stout stem. Avoid the one with wrinkled surface, cuts and bruises."
raspberries,hf,2,"Buy local; reject if they have lost shape or have signs of leaking juice.Frozen raspberries are almost as nutritious."
red cabbage,hf,2,Look for compact heads that are firm and heavy for their size; they need to squeak when rubbed to another head.
red lentils,cup,0.5,"Dry; if not, no salt or anything added"
red onion,unit,0.25,"The smaller, the better. Round and oblong onions are better. Look for firm onions, intact outer skin. Avoid lighter colors."
rice,cup,0.5,Whole-grain; moderate length
scallion,unit,1,"Buy only local, as soon as harvested."
spinach,hf,2,With the roots; not cut; lush green and must look fresh
strawberries,hf,2,"Completely red and with a red gloss. Reject if the container has damaged, leaking or moldy fruit. Buy local and organic in the US."
sweet potato,unit,1.5,"Look for the deeper flesh colors; if you don't know the color of the flesh, go for the darkest skin."
tofu,box,1,Ask because it depends on what is being cooked.
watermelon (big),unit,0.2,"Try to see the inside (halves are good) and look for dark red. If you cannot see the inside: look for one starting to lose its gloss. Examine the stem area; it should be yellow, not green or white. Tap the watermelon: hollow sound rather than flat thump. Look for small watermelons."
